bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1133575,1653,HB1000,1,Introduced,2019-01-14,"Increasing the authorized number of days for a temporary vehicle trip permit.","Increasing the authorized number of days for a temporary vehicle trip permit.",946,"House Transportation",2020-01-13,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1000/2019,https://app.leg.wa.gov/billsummary?BillNumber=1000&Year=2019&Initiative=false
1133577,1653,HB1001,4,Passed,2019-04-08,"Concerning service contract providers.","Concerning service contract providers.",0,,2019-04-08,"Effective date 7/28/2019.",https://legiscan.com/WA/bill/HB1001/2019,https://app.leg.wa.gov/billsummary?BillNumber=1001&Year=2019&Initiative=false
1133576,1653,HB1002,2,Engrossed,2019-02-07,"Modifying the offense of rape in the third degree.","Modifying the offense of rape in the third degree.",0,,2020-01-21,"House Rules ""X"" file.",https://legiscan.com/WA/bill/HB1002/2019,https://app.leg.wa.gov/billsummary?BillNumber=1002&Year=2019&Initiative=false
1133551,1653,HB1003,1,Introduced,2019-01-14,"Siting of marijuana businesses in relation to areas or facilities frequented by children.","Siting of marijuana businesses in relation to areas or facilities frequented by children.",3145,"House Commerce & Gaming",2020-01-13,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1003/2019,https://app.leg.wa.gov/billsummary?BillNumber=1003&Year=2019&Initiative=false
1133566,1653,HB1004,1,Introduced,2019-01-14,"Modifying theater license provisions.","Modifying theater license provisions.",3145,"House Commerce & Gaming",2020-01-13,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1004/2019,https://app.leg.wa.gov/billsummary?BillNumber=1004&Year=2019&Initiative=false
1133522,1653,HB1005,1,Introduced,2019-01-14,"Regarding foreclosure and distraint sales of manufactured/mobile or park model homes.","Regarding foreclosure and distraint sales of manufactured/mobile or park model homes.",0,,2020-01-21,"House Rules ""X"" file.",https://legiscan.com/WA/bill/HB1005/2019,https://app.leg.wa.gov/billsummary?BillNumber=1005&Year=2019&Initiative=false
1133581,1653,HB1006,1,Introduced,2019-01-14,"Adopting new requirements for locating underground facilities, including positive response, minimum marking standards, adopting a new process for coordinating large projects, and requiring new and replacement facilities to be locatable.","Adopting new requirements for locating underground facilities, including positive response, minimum marking standards, adopting a new process for coordinating large projects, and requiring new and replacement facilities to be locatable.",2759,"House Appropriations",2020-01-13,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1006/2019,https://app.leg.wa.gov/billsummary?BillNumber=1006&Year=2019&Initiative=false
1133542,1653,HB1007,1,Introduced,2019-01-14,"Concerning dedicated funding for animal shelter capital projects.","Concerning dedicated funding for animal shelter capital projects.",925,"House Capital Budget",2020-01-13,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1007/2019,https://app.leg.wa.gov/billsummary?BillNumber=1007&Year=2019&Initiative=false
1133532,1653,HB1008,1,Introduced,2019-01-14,"Studying the constitutional and statutory obligations and tax revenue capacity of local government entities.","Studying the constitutional and statutory obligations and tax revenue capacity of local government entities.",2759,"House Appropriations",2020-01-13,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1008/2019,https://app.leg.wa.gov/billsummary?BillNumber=1008&Year=2019&Initiative=false
1133589,1653,HB1009,2,Engrossed,2019-03-01,"Addressing the state auditor&#x27;s duties and procedures.","Addressing the state auditor&#x27;s duties and procedures.",960,"Senate Rules",2020-03-12,"By resolution, returned to House Rules Committee for third reading.",https://legiscan.com/WA/bill/HB1009/2019,https://app.leg.wa.gov/billsummary?BillNumber=1009&Year=2019&Initiative=false
