0,1,2
HB1000,1516,Introduced
HB1001,1516,Introduced
HB1002,1516,Passed
HB1003,1516,Passed
HB1009,1516,Introduced
HB1012,1516,Introduced
HB1013,1516,Passed
HB1015,1516,Introduced
HB1016,1516,Introduced
HB1017,1516,Introduced
HB1018,1516,Introduced
HB1019,1516,Introduced
HB1023,1516,Introduced
HB1024,1516,Introduced
HB1025,1516,Introduced
HB1026,1516,Introduced
HB1028,1516,Introduced
HB1029,1516,Introduced
HB1030,1516,Introduced
HB1032,1516,Engrossed
HB1033,1516,Introduced
HB1034,1516,Engrossed
HB1036,1516,Engrossed
HB1037,1516,Engrossed
HB1039,1516,Introduced
HB1041,1516,Introduced
HB1042,1516,Engrossed
HB1043,1516,Passed
HB1044,1516,Introduced
HB1045,1516,Passed
HB1046,1516,Introduced
HB1047,1516,Passed
HB1048,1516,Engrossed
HB1049,1516,Introduced
HB1050,1516,Introduced
HB1051,1516,Introduced
HB1053,1516,Engrossed
HB1054,1516,Introduced
HB1057,1516,Introduced
HB1058,1516,Introduced
HB1059,1516,Passed
HB1060,1516,Passed
HB1061,1516,Passed
HB1062,1516,Engrossed
HB1064,1516,Introduced
HB1065,1516,Engrossed
HB1066,1516,Introduced
HB1067,1516,Engrossed
HB1069,1516,Passed
HB1071,1516,Introduced
HB1073,1516,Introduced
HB1074,1516,Introduced
HB1075,1516,Introduced
HB1076,1516,Introduced
HB1077,1516,Passed
HB1078,1516,Passed
HB1079,1516,Introduced
HB1080,1516,Introduced
HB1082,1516,Introduced
HB1084,1516,Introduced
HB1085,1516,Engrossed
HB1086,1516,Introduced
HB1087,1516,Engrossed
HB1088,1516,Passed
HB1089,1516,Engrossed
HB1090,1516,Passed
HB1091,1516,Passed
HB1092,1516,Introduced
HB1093,1516,Engrossed
HB1094,1516,Engrossed
HB1095,1516,Passed
HB1096,1516,Introduced
HB1097,1516,Introduced
HB1098,1516,Introduced
HB1099,1516,Introduced
HB1100,1516,Engrossed
HB1102,1516,Introduced
HB1103,1516,Engrossed
HB1105,1516,Passed
HB1107,1516,Introduced
HB1108,1516,Introduced
HB1109,1516,Engrossed
HB1110,1516,Introduced
HB1111,1516,Passed
HB1112,1516,Introduced
HB1116,1516,Introduced
HB1117,1516,Introduced
HB1118,1516,Engrossed
HB1119,1516,Introduced
HB1120,1516,Introduced
HB1122,1516,Introduced
HB1123,1516,Engrossed
HB1124,1516,Passed
HB1125,1516,Introduced
HB1127,1516,Passed
HB1128,1516,Introduced
HB1129,1516,Engrossed
HB1130,1516,Passed
HB1131,1516,Introduced
HB1132,1516,Passed
HB1134,1516,Engrossed
HB1135,1516,Engrossed
HB1136,1516,Introduced
HB1137,1516,Introduced
HB1138,1516,Passed
HB1139,1516,Engrossed
HB1140,1516,Introduced
HB1141,1516,Introduced
HB1143,1516,Introduced
HB1145,1516,Passed
HB1147,1516,Introduced
HB1149,1516,Engrossed
HB1151,1516,Introduced
HB1152,1516,Introduced
HB1153,1516,Introduced
HB1154,1516,Introduced
HB1155,1516,Introduced
HB1156,1516,Introduced
HB1157,1516,Passed
HB1158,1516,Introduced
HB1160,1516,Introduced
HB1161,1516,Introduced
HB1162,1516,Introduced
HB1165,1516,Introduced
HB1166,1516,Passed
HB1167,1516,Introduced
HB1168,1516,Passed
HB1169,1516,Introduced
