,id,report_number,origin,filer_id,filer_name,type,funding_source_id,funding_source_name,filing_period,receipt_date,employer_id,employer_name,compensation,sub_lobbyist_compensation,net_compensation,personal_expenses,entertainment,contributions,advertising,political_ads,other,total_expenses,net_total,employment_registration_id,employment_type,contractor_id,contractor_name,url,legislation_subject_matter,issue_bill_number,committee_lobbied
100000,86150-31282,86150,FE,18074,Waypoint Consulting Group,Employer,31282,Washington State Opportunity Scholarship,21-Dec,1/1/2022,30931.0,Washington State Opportunity Scholarship,2000.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,31282.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/86150),Higher education,Higher Education,"Higher Ed, W&M, Approps, WSAC, PESB"
100001,86118-41082,86118,FE,17401,Brynn Brady,Employer,41082,Sunovion Pharmaceuticals Inc. (Martin Flynn Public Affairs Inc),21-Dec,1/1/2022,33133.0,Sunovion Pharmaceuticals Inc.,3500.0,0.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3500.0,41082.0,Subcontract,17407.0,Martin Flynn Public Affairs Inc,View report (https://accesshub.pdc.wa.gov/node/86118),,,
100002,86118-49790,86118,FE,17401,Brynn Brady,Employer,49790,Detente Management (Martin Flynn Public Affairs Inc),21-Dec,1/1/2022,46391.0,Detente Management,3000.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,49790.0,Subcontract,17407.0,Martin Flynn Public Affairs Inc,View report (https://accesshub.pdc.wa.gov/node/86118),,,
100003,86149-47136,86149,FE,17496,DOTY & ASSOC INC*,Employer,47136,Lakepointe Covington Inc.,21-Dec,1/1/2022,46966.0,Lakepointe Covington Inc.,2500.0,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500.0,47136.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/86149),State government,,
100004,86151-47042,86151,FE,17536,Nick Federici,Employer,47042,City of Sammamish,21-Dec,1/1/2022,47025.0,City of Sammamish,2000.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,47042.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/86151),Local government,Local Gov't,Local Gov't
100005,86143-51699,86143,FE,45903,"Doug Mah & Associates, LLC",Employer,51699,Thurston County Chamber of Commerce,21-Dec,1/1/2022,47800.0,Thurston County Chamber of Commerce,1500.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,51699.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/86143),Fiscal,transportation and capital budget,"Representatives and Senators from the 2, 20, 22, and 35 LD"
100006,86149-52099,86149,FE,17496,DOTY & ASSOC INC*,Employer,52099,Sourcewell,21-Dec,1/1/2022,52067.0,Sourcewell,3500.0,-1750.0,1750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1750.0,52099.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/86149),State government,,
100007,86149-59573,86149,FE,17496,DOTY & ASSOC INC*,Employer,59573,Kitsap Mental Health Services,21-Dec,1/1/2022,59568.0,Kitsap Mental Health Services,1500.0,-750.0,750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750.0,59573.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/86149),State government,,
100008,86094-62440,86094,FE,17579,Melissa M Gombosky,Employer,62440,American Staffing Association,21-Dec,1/1/2022,62351.0,American Staffing Association,2083.33,0.0,2083.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2083.33,62440.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/86094),Labor,"SB 6122, HB 2409,SB 6281,SB 5717 / HB 1491",S & H Labor
100009,86151-62857,86151,FE,17536,Nick Federici,Employer,62857,American Association of Orthodontists,21-Dec,1/1/2022,62856.0,American Association of Orthodontists,3000.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,62857.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/86151),Health Care,Health Care,H and S Health Care Committees
100010,86094-64586,86094,FE,17579,Melissa M Gombosky,Employer,64586,"Safelite Group, Inc.",21-Dec,1/1/2022,64584.0,"Safelite Group, Inc.",5000.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,64586.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/86094),Transportation,Transportation,S & H Transportation
100011,86094-68662,86094,FE,17579,Melissa M Gombosky,Employer,68662,Central Valley School District,21-Dec,1/1/2022,68661.0,Central Valley School District,3500.0,0.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3500.0,68662.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/86094),Education,Education Issues,Education Committees
100012,86158-18983,86158,FE,17654,Trent M House,Employer,18983,AEROSPACE FUTURES ALLIANCE OF WASHINGTON LTD,21-Dec,1/2/2022,16071.0,AEROSPACE FUTURES ALLIANCE OF WASHINGTON LTD,4000.0,0.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,18983.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/86158),Labor,"Workers Compensation, Taxes",Commerce and Labor Committees
100013,86154-66249,86154,FE,17790,GAIL TORAASON MCGAFFICK INC*,Employer,66249,AMERICAN MASSAGE THERAPY ASSN- WA CHAPTER,21-Dec,1/2/2022,16115.0,AMERICAN MASSAGE THERAPY ASSN- WA CHAPTER,4120.0,0.0,4120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4120.0,66249.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/86154),Health Care,"Monitor Board of Massage, health care rule-making","DOH, Board of Massage, OIC"
100014,86160-73534,86160,FE,18008,Eileen Sullivan,Employer,73534,BIOGEN,21-Dec,1/2/2022,16192.0,BIOGEN,6500.0,0.0,6500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6500.0,73534.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/86160),Health Care,Health Care,Health Care Committees
100015,86156-19315,86156,FE,17823,MICHAEL M MORAN,Employer,19315,COLVILLE CONFEDERATED TRIBES,21-Dec,1/2/2022,16343.0,COLVILLE CONFEDERATED TRIBES,7500.0,0.0,7500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7500.0,19315.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/86156),Fiscal,Capital Budget,"OFM, LEGISLATURE"
